LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HOUSECOST,NOMINAL,IDX2015,A,1970,2.552379708,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1971,2.851352119,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1972,3.183667177,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1973,3.837183079,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1974,4.690199158,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1975,5.202008806,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1976,5.793840808,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1977,6.267862121,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1978,6.590174386,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1979,7.4604175,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1980,8.434578533,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1981,9.707711978,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1982,10.05503123,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1983,10.6296362,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1984,11.85386709,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1985,13.06198237,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1986,13.97025288,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1987,14.77893221,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1988,18.1088388,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1989,22.58760271,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1990,22.93364407,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1991,23.52883521,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1992,23.88871823,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1993,24.51159268,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1994,25.38954905,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1995,25.69604283,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1996,25.90366764,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1997,26.94179173,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1998,28.92114832,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1999,31.01914766,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2000,33.59567277,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2001,37.3685123,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2002,44.37238946,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2003,52.37565666,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2004,55.647,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2005,56.66475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2006,60.5795,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2007,66.96025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2008,69.60275,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2009,72.42125,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2010,80.877,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2011,79.13475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2012,78.88025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2013,84.1065,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2014,91.72025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2016,105.5,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2017,114.30825,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2018,112.66375,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2019,108.08375,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1970,57.43836783,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1971,58.93078361,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1972,59.96053708,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1973,62.09243634,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1974,63.01680073,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1975,58.59149367,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1976,58.27280372,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1977,57.11181783,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1978,54.43148311,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1979,55.02055807,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1980,55.94608159,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1981,57.68707495,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1982,53.99426577,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1983,52.84432512,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1984,54.07082091,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1985,55.81510811,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1986,55.74861621,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1987,55.44913033,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1988,62.2120728,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1989,70.07547794,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1990,66.03815877,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1991,67.09890201,
